PLAYER,POS,AGE,TEAM,G,MP,PER,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,VORP,SEASON,AdjustedSalary,AdjustedPayroll,MinutesPG,TS%,AdjustedSalaryCap
Bruno Fernando,C,21,ATL,56,713,11.9,0.186,0.256,15,9.9,1.2,2,15.9,15.3,-3.2,-0.9,-0.4,2020,1400000,116954541,12.73214286,0.542,111159664
Cam Reddish,SF,20,ATL,58,1551,9,0.451,0.227,7.5,8,1.9,1.5,13.6,18.9,-3.3,-1,-0.9,2020,4245720,116954541,26.74137931,0.5,111159664
Damian Jones,C,24,ATL,55,887,15.6,0.051,0.472,12.5,5.6,1.4,3.8,11.5,11.4,-1.6,0.1,0.1,2020,2305057,116954541,16.12727273,0.712,111159664
DeAndre Bembry,SG,25,ATL,43,915,9.6,0.285,0.211,8.9,12.3,2.8,1.7,19.4,14,-3.5,1.1,-0.1,2020,2603981,116954541,21.27906977,0.5,111159664
De'Andre Hunter,SF,22,ATL,63,2018,8.6,0.445,0.211,7.6,8,1,0.7,12.1,17.5,-2.9,-1.8,-1.4,2020,7068360,116954541,32.03174603,0.521,111159664
Kevin Huerter,SG,21,ATL,56,1760,11.5,0.548,0.105,7,17.5,1.4,1.3,12,17.1,-0.7,-0.9,0.2,2020,2636280,116954541,31.42857143,0.536,111159664
Trae Young,PG,21,ATL,60,2120,23.9,0.455,0.448,6.5,45.6,1.4,0.3,16.2,34.9,6.2,-2.3,3.1,2020,6273000,116954541,35.33333333,0.595,111159664
Vince Carter,SF,43,ATL,60,876,7.5,0.664,0.095,7.6,7.7,1.2,2.4,9.4,16.6,-3.1,-1.2,-0.5,2020,2564753,116954541,14.6,0.47,111159664
Brad Wanamaker,PG,30,BOS,71,1369,12.8,0.282,0.376,5.6,17.8,2.2,0.9,15.3,15.5,-1.9,1.3,0.5,2020,1445697,119306269,19.28169014,0.577,111159664
Daniel Theis,C,27,BOS,65,1566,17.9,0.225,0.268,14.6,10.1,1.1,5,10.2,14.4,0.6,1.8,1.7,2020,5000000,119306269,24.09230769,0.631,111159664
Enes Kanter,C,27,BOS,58,983,22.4,0.02,0.284,23.5,8.8,1.1,3.9,12.5,19.4,1.8,-0.3,0.9,2020,4767000,119306269,16.94827586,0.599,111159664
Gordon Hayward,SF,29,BOS,52,1740,18.1,0.317,0.207,10.7,18.7,1.1,1.2,11.2,21.1,2.6,0.1,2,2020,32700690,119306269,33.46153846,0.595,111159664
Grant Williams,PF,21,BOS,69,1043,7.9,0.455,0.256,9.1,8.5,1.4,3.2,17.6,11.6,-4.1,1.4,-0.2,2020,2379840,119306269,15.11594203,0.505,111159664
Jaylen Brown,SF,23,BOS,57,1934,16.9,0.381,0.274,10.1,9.7,1.6,1,11.2,24.7,1,-0.2,1.4,2020,6534829,119306269,33.92982456,0.583,111159664
Jayson Tatum,PF,21,BOS,66,2265,20.4,0.383,0.255,10.9,14.5,2,2.3,10.2,28.6,3.5,0.6,3.4,2020,7830000,119306269,34.31818182,0.567,111159664
Kemba Walker,PG,29,BOS,56,1742,20,0.532,0.272,6.7,24.2,1.3,1.5,10.5,27.2,4.9,-0.3,2.9,2020,32742000,119306269,31.10714286,0.575,111159664
Marcus Smart,SG,25,BOS,60,1919,13.8,0.579,0.223,6.3,21.1,2.5,1.4,12.1,18.9,0,1.4,1.6,2020,12553571,119306269,31.98333333,0.518,111159664
Semi Ojeleye,PF,25,BOS,69,1011,7.7,0.648,0.163,7.7,4.7,1,0.5,8.3,9.7,-2.1,0.4,0.1,2020,1618520,119306269,14.65217391,0.562,111159664
Caris LeVert,SG,25,BRK,45,1330,16.1,0.301,0.269,7.4,25,1.9,0.6,12.6,29.5,0.6,-0.9,0.5,2020,2625717,126993796,29.55555556,0.514,111159664
DeAndre Jordan,C,31,BRK,56,1234,19.9,0,0.425,23.5,12.6,0.7,3.5,17.8,14.1,1.2,1.8,1.5,2020,9881598,126993796,22.03571429,0.682,111159664
Garrett Temple,SG,33,BRK,62,1730,10.5,0.658,0.148,6.5,12.8,1.3,1.4,9,16.6,-1.4,0.3,0.4,2020,4767000,126993796,27.90322581,0.513,111159664
Jarrett Allen,C,21,BRK,70,1852,20.7,0.013,0.581,18.7,8.9,1,4.2,11.7,14.9,1.4,1,2,2020,2376840,126993796,26.45714286,0.664,111159664
Joe Harris,SF,28,BRK,69,2123,13.3,0.518,0.114,7.3,10.4,0.9,0.7,11.2,18.3,0.4,-0.6,1,2020,7666667,126993796,30.76811594,0.606,111159664
Rodions Kurucs,PF,21,BRK,47,684,8.9,0.508,0.215,10.4,10.4,1.7,0.6,19.2,14.7,-3.6,0.8,-0.1,2020,1699236,126993796,14.55319149,0.555,111159664
Spencer Dinwiddie,SG,26,BRK,64,1994,17.8,0.392,0.437,5.7,35,0.9,0.9,12.5,29.2,2.7,-0.8,1.9,2020,10605600,126993796,31.15625,0.541,111159664
Taurean Prince,SF,25,BRK,64,1857,9.1,0.583,0.12,10.6,9.2,1.5,1.1,14,20.4,-2.8,-0.1,-0.4,2020,3481985,126993796,29.015625,0.497,111159664
Timothe Luwawu,SG,24,BRK,47,853,11,0.595,0.301,7.7,4.9,1,0.7,10.8,16.8,-1.8,-0.5,-0.1,2020,837583,126993796,18.14893617,0.599,111159664
Coby White,SG,19,CHI,65,1674,11.9,0.475,0.163,7.6,16.5,1.4,0.3,11.4,24.4,-1.2,-1.6,-0.4,2020,5307120,117090132,25.75384615,0.506,111159664
Daniel Gafford,C,21,CHI,43,609,16.2,0,0.448,9.6,5.2,1,8.7,15.3,13.3,-2.8,1.5,0.1,2020,898310,117090132,14.1627907,0.686,111159664
Kris Dunn,PG,25,CHI,51,1269,12.1,0.327,0.158,8.1,19.4,3.8,1.3,15.7,14.6,-3.7,3.1,0.4,2020,5348007,117090132,24.88235294,0.51,111159664
Lauri Markkanen,PF,22,CHI,50,1492,14.3,0.536,0.259,11.6,7.6,1.4,1.5,11,21.1,0.2,-0.8,0.5,2020,5300400,117090132,29.84,0.56,111159664
Ryan Arcidiacono,PG,25,CHI,58,930,9,0.627,0.173,6.5,14.3,1.4,0.3,13.5,12.5,-2.7,-0.1,-0.2,2020,3000000,117090132,16.03448276,0.551,111159664
Thaddeus Young,PF,31,CHI,64,1591,13.3,0.369,0.12,10.9,11.3,2.8,1.4,13.9,19.7,-1.4,0.2,0.3,2020,12900000,117090132,24.859375,0.521,111159664
Tomas Satoransky,PG,28,CHI,65,1878,13.5,0.361,0.22,7.5,27.1,2.1,0.4,17.7,16.7,-1.1,-0.2,0.3,2020,10000000,117090132,28.89230769,0.533,111159664
Zach LaVine,SG,24,CHI,60,2085,19.4,0.404,0.279,7.7,21.7,2,1.3,13.3,31.7,3.2,-0.8,2.4,2020,19500000,117090132,34.75,0.568,111159664
Bismack Biyombo,C,27,CHO,53,1029,16.1,0,0.543,16.3,7.8,0.5,4.4,12.2,16.8,-1.8,-0.7,-0.1,2020,17000000,122870739,19.41509434,0.57,111159664
Cody Martin,SF,24,CHO,48,903,10.5,0.372,0.314,9.6,15.7,2.2,0.9,15.7,13.6,-3.1,1,0,2020,1173310,122870739,18.8125,0.505,111159664
Cody Zeller,C,27,CHO,58,1341,18.8,0.157,0.374,16.7,11.3,1.5,1.7,11.9,20.8,0.2,-0.8,0.5,2020,14471910,122870739,23.12068966,0.576,111159664
Devonte Graham,PG,24,CHO,63,2211,15.8,0.607,0.242,5.2,35.3,1.4,0.6,14.5,24.8,2.5,-2.1,1.4,2020,1416852,122870739,35.0952381,0.537,111159664
Malik Monk,SG,21,CHO,55,1169,12.6,0.418,0.205,7.3,16.6,1.1,1.3,12.6,22.9,-1.1,-1.3,-0.1,2020,4028400,122870739,21.25454545,0.53,111159664
Miles Bridges,SF,21,CHO,65,1995,12.1,0.398,0.174,9.9,9.4,1,2.2,10.5,20,-1.5,-1,-0.3,2020,3755400,122870739,30.69230769,0.52,111159664
Terry Rozier,PG,25,CHO,63,2164,14.8,0.45,0.202,7,20.4,1.4,0.4,12.1,23.7,0.8,-1.2,0.8,2020,19894737,122870739,34.34920635,0.553,111159664
Cedi Osman,SF,24,CLE,65,1910,10.7,0.527,0.154,6.7,11.6,1.4,0.7,12.3,16.6,-1.7,-0.9,-0.3,2020,2907143,131371296,29.38461538,0.552,111159664
Collin Sexton,SG,21,CLE,65,2143,16.3,0.235,0.246,5.3,15.1,1.5,0.3,11.6,27.2,0.3,-2.1,0.1,2020,4764960,131371296,32.96923077,0.56,111159664
Darius Garland,PG,20,CLE,59,1824,8.5,0.423,0.103,3.4,18.5,1.1,0.2,17.1,20.7,-2.7,-2.8,-1.7,2020,6400920,131371296,30.91525424,0.498,111159664
Kevin Love,PF,31,CLE,56,1780,17.9,0.536,0.301,17.1,15.4,0.9,0.9,14.5,23.1,2.6,-0.5,1.8,2020,28942830,131371296,31.78571429,0.599,111159664
Larry Nance Jr.,C,27,CLE,56,1472,17.3,0.369,0.172,15.4,12.3,1.9,1.3,11.5,15.2,1.4,0.4,1.4,2020,12727273,131371296,26.28571429,0.608,111159664
Matthew Dellavedova,PG,29,CLE,57,821,8.1,0.52,0.211,5.1,29,1.2,0.2,23.6,13,-3.6,-1.6,-0.7,2020,9607500,131371296,14.40350877,0.463,111159664
Tristan Thompson,C,28,CLE,57,1721,16.8,0.041,0.286,18.6,10.5,0.9,2.5,14,18.3,-0.3,-1.3,0.2,2020,18539130,131371296,30.19298246,0.54,111159664
Delon Wright,SG,27,DAL,73,1570,15.4,0.309,0.243,9.4,21,2.6,1.2,13.8,14.4,0,1.8,1.5,2020,9473684,124616924,21.50684932,0.554,111159664
Dorian Finney-Smith,PF,26,DAL,71,2120,12.3,0.58,0.207,10,7.2,1,1.6,10.8,12.9,0.1,-0.3,0.9,2020,4000000,124616924,29.85915493,0.595,111159664
Jalen Brunson,PG,23,DAL,57,1022,14.9,0.309,0.193,6.9,27,1,0.3,13.6,20.4,0.1,-1,0.3,2020,1416852,124616924,17.92982456,0.553,111159664
Justin Jackson,PF,24,DAL,65,1045,9.5,0.478,0.147,7.7,6.8,0.7,0.8,3.7,15.4,-2.1,-1.3,-0.4,2020,3280920,124616924,16.07692308,0.496,111159664
Kristaps Porzingis,PF,24,DAL,57,1814,20.2,0.432,0.304,15.6,8.8,1.1,5.4,8,27,1.8,0.1,1.8,2020,27285000,124616924,31.8245614,0.551,111159664
Luka Doncic,PG,20,DAL,61,2047,27.6,0.431,0.448,14.7,45.7,1.5,0.6,14.8,36.8,7.4,1,5.4,2020,7683360,124616924,33.55737705,0.585,111159664
Maxi Kleber,C,28,DAL,74,1890,13.6,0.621,0.181,10.8,6.3,0.6,3.8,9.5,13.9,0.4,0,1.1,2020,8000000,124616924,25.54054054,0.605,111159664
Seth Curry,SG,29,DAL,64,1576,15.5,0.559,0.169,4.8,11.6,1.2,0.5,9.1,18.4,1.7,-0.9,1.2,2020,7461380,124616924,24.625,0.643,111159664
Tim Hardaway Jr.,SG,27,DAL,71,2091,14.5,0.58,0.206,5.8,9.7,0.9,0.2,6.7,21.1,1.2,-1.4,1,2020,20025127,124616924,29.45070423,0.581,111159664
Gary Harris,SG,25,DEN,56,1780,9.7,0.405,0.177,5.1,8.9,2.1,0.7,9.7,15.1,-2.8,0.3,-0.2,2020,18189286,131310933,31.78571429,0.519,111159664
Jamal Murray,PG,22,DEN,59,1904,17.7,0.362,0.207,6.9,22.9,1.7,0.8,11.5,25.2,2,-0.8,1.5,2020,4444746,131310933,32.27118644,0.559,111159664
Jerami Grant,PF,25,DEN,71,1892,14.4,0.397,0.309,7.3,6.6,1.3,2.8,8,18,0.1,-0.6,0.7,2020,9346153,131310933,26.64788732,0.591,111159664
Mason Plumlee,C,29,DEN,61,1057,18.8,0.017,0.538,16.8,20.9,1.5,3.3,18.7,18,0.3,1.7,1.1,2020,14041096,131310933,17.32786885,0.613,111159664
Monte Morris,PG,24,DEN,73,1636,14.9,0.304,0.157,4.7,22.1,1.7,1,8.1,17.5,0.4,-0.5,0.8,2020,1588231,131310933,22.4109589,0.545,111159664
Nikola Jokic,C,24,DEN,73,2336,24.9,0.238,0.281,17.1,35.2,1.8,1.7,15.8,26.6,5.5,2,5.5,2020,27504630,131310933,32,0.605,111159664
Paul Millsap,PF,34,DEN,51,1240,16.9,0.283,0.322,13.2,9.6,1.8,2.2,12.3,20,0.3,-0.2,0.7,2020,30350000,131310933,24.31372549,0.591,111159664
Torrey Craig,SF,29,DEN,58,1072,10.8,0.513,0.134,9.9,5.9,1.1,3.1,8.1,12.6,-2,-0.3,-0.1,2020,2000000,131310933,18.48275862,0.553,111159664
Will Barton,SF,29,DEN,58,1916,15.6,0.39,0.18,10.7,16,1.6,1.4,9.9,20.1,1.2,-0.2,1.5,2020,12776786,131310933,33.03448276,0.549,111159664
Andre Drummond,C,26,DET,49,1654,22.1,0.031,0.376,26.6,14,2.9,4.2,18,25.5,0,1.2,1.3,2020,27093018,130436825,33.75510204,0.55,111159664
Bruce Brown,SG,23,DET,58,1634,11.9,0.215,0.266,9.5,20.4,1.9,1.5,16.7,16,-2,0.8,0.3,2020,1416852,130436825,28.17241379,0.518,111159664
Christian Wood,PF,24,DET,62,1325,23.2,0.276,0.476,16.7,7.6,1.3,3.4,12,23,3.5,-0.3,1.7,2020,1645357,130436825,21.37096774,0.659,111159664
Derrick Rose,PG,31,DET,50,1298,21,0.195,0.185,5.3,40.5,1.5,1,13.4,31.6,3.9,-1.7,1.4,2020,7317074,130436825,25.96,0.555,111159664
Langston Galloway,SG,28,DET,66,1702,12.3,0.611,0.157,5,8.8,1.4,0.5,6.5,15.9,0,-0.9,0.5,2020,7333333,130436825,25.78787879,0.584,111159664
Markieff Morris,PF,30,DET,44,988,12.7,0.486,0.203,9.9,11,1.3,0.9,14.2,21.8,-1.1,-1,0,2020,3709887,130436825,22.45454545,0.573,111159664
Sviatoslav Mykhailiuk,SF,22,DET,56,1265,11.2,0.704,0.173,4.7,12.3,1.6,0.3,12.3,17.1,-0.7,-1.2,0,2020,1416852,130436825,22.58928571,0.578,111159664
Thon Maker,C,22,DET,60,776,13.7,0.332,0.57,12.2,8,1.6,4.2,15.7,16.1,-2.1,0.7,0.1,2020,3569643,130436825,12.93333333,0.582,111159664
Tony Snell,SF,28,DET,59,1641,9.7,0.665,0.084,3.8,10.9,1,0.8,7.3,11.4,-1.2,-0.6,0.1,2020,11392857,130436825,27.81355932,0.598,111159664
Alec Burks,SG,28,GSW,48,1390,16.1,0.373,0.373,8.8,17.4,1.7,1.1,9.8,23.8,0.7,-0.6,0.7,2020,2320044,131477176,28.95833333,0.552,111159664
Damion Lee,SG,27,GSW,49,1423,12.7,0.468,0.247,9.1,14.4,1.7,0.4,10.6,19,-1.5,-0.8,-0.1,2020,842327,131477176,29.04081633,0.548,111159664
Draymond Green,PF,29,GSW,43,1222,12.5,0.408,0.263,11.8,31.2,2.3,2.4,21.8,15.7,-2.1,1.9,0.6,2020,18539130,131477176,28.41860465,0.489,111159664
Eric Paschall,PF,23,GSW,60,1654,14.5,0.202,0.331,9,12.7,0.9,0.7,11.4,21.4,-0.7,-2,-0.3,2020,898310,131477176,27.56666667,0.571,111159664
Glenn Robinson III,SF,26,GSW,48,1516,13.1,0.335,0.146,8.1,8.8,1.4,0.8,8.5,16.6,-0.6,-1.2,0.1,2020,1882867,131477176,31.58333333,0.574,111159664
Jordan Poole,SG,20,GSW,57,1274,7.2,0.528,0.237,5,15.8,1.3,0.7,11.8,21.1,-4.4,-2.2,-1.5,2020,1964760,131477176,22.35087719,0.454,111159664
Ky Bowman,PG,22,GSW,45,1015,9.1,0.333,0.128,6.5,19.4,2.1,0.9,17.1,17.2,-4,-0.3,-0.6,2020,350189,131477176,22.55555556,0.494,111159664
Marquese Chriss,PF,22,GSW,59,1196,19.5,0.101,0.405,16.5,15.3,1.6,4.7,14.7,19,0,0.6,0.8,2020,1413273,131477176,20.27118644,0.604,111159664
Omari Spellman,PF,22,GSW,49,886,14.4,0.373,0.312,13.4,8.1,1.8,2.4,13.9,18.8,-0.8,-1,0.1,2020,1897800,131477176,18.08163265,0.551,111159664
Austin Rivers,SG,27,HOU,68,1594,10.4,0.539,0.222,5.8,10,1.4,0.5,8.3,15.6,-2.1,-0.4,-0.2,2020,2174310,131403744,23.44117647,0.542,111159664
Ben McLemore,SG,26,HOU,71,1619,11.8,0.829,0.123,5.1,5.2,1.3,0.8,8,16,0,-0.6,0.6,2020,2028594,131403744,22.8028169,0.622,111159664
Danuel House,SF,26,HOU,63,1913,11.3,0.659,0.167,7.3,6.1,1.6,1.5,8.5,13.7,-0.8,0,0.6,2020,3540000,131403744,30.36507937,0.572,111159664
James Harden,SG,30,HOU,68,2483,29.1,0.557,0.528,9.4,35.9,2.3,2.1,14.2,36.3,8.1,1.6,7.3,2020,38199000,131403744,36.51470588,0.626,111159664
Russell Westbrook,PG,31,HOU,57,2049,21,0.166,0.297,11.5,35.6,2.1,0.8,15,34.4,1.6,-0.1,1.8,2020,38506482,131403744,35.94736842,0.536,111159664
Aaron Holiday,PG,23,IND,66,1617,11.6,0.393,0.155,5.3,19.1,1.7,0.9,12.8,18.7,-1.6,0,0.2,2020,2239200,115117660,24.5,0.521,111159664
Domantas Sabonis,PF,23,IND,62,2159,20.7,0.079,0.349,19.6,21.7,1.1,1.2,14.8,23.3,2,1.2,2.9,2020,3529554,115117660,34.82258065,0.586,111159664
Doug McDermott,PF,28,IND,69,1372,14.4,0.537,0.106,7,8.4,0.4,0.3,6.8,19.6,1.4,-1.3,0.7,2020,7333333,115117660,19.88405797,0.62,111159664
Jeremy Lamb,SG,27,IND,46,1291,14,0.33,0.23,8.5,10.5,2.1,1.5,8.7,19.6,-1.1,0.8,0.5,2020,10500000,115117660,28.06521739,0.547,111159664
Justin Holiday,SG,30,IND,73,1826,12.1,0.681,0.138,7.1,6.7,2.3,2.2,7.9,13.4,-0.5,1.8,1.5,2020,4767000,115117660,25.01369863,0.585,111159664
Malcolm Brogdon,PG,27,IND,54,1666,17.7,0.309,0.25,8.6,33.8,1,0.5,13.7,25.2,2.3,-0.5,1.6,2020,20000000,115117660,30.85185185,0.541,111159664
Myles Turner,C,23,IND,62,1826,14.8,0.426,0.288,12.2,5.4,1.2,6.4,11.4,17.9,-1,1.1,1,2020,18000000,115117660,29.4516129,0.566,111159664
Ivica Zubac,C,22,LAC,72,1326,21.7,0.005,0.431,21.3,9.1,0.6,4.4,11.8,16.4,1.9,0.8,1.6,2020,6481482,133826385,18.41666667,0.651,111159664
JaMychal Green,PF,29,LAC,63,1307,11.1,0.676,0.136,15.4,5,1,1.6,12.6,13.7,-1.2,0.7,0.5,2020,4767000,133826385,20.74603175,0.576,111159664
Kawhi Leonard,SF,28,LAC,57,1848,26.9,0.287,0.355,11.3,26.4,2.6,1.6,10.2,33,6.5,2.4,5.1,2020,32742000,133826385,32.42105263,0.589,111159664
Landry Shamet,SG,22,LAC,53,1452,8.5,0.757,0.194,3.6,9.1,0.7,0.6,9,13.4,-1.8,-0.3,0,2020,1995120,133826385,27.39622642,0.58,111159664
Montrezl Harrell,C,26,LAC,63,1749,23.2,0.022,0.432,13.2,10.3,1.1,3.6,10.1,25.7,2.5,0.5,2.2,2020,6000000,133826385,27.76190476,0.607,111159664
Patrick Beverley,PG,31,LAC,51,1342,12.5,0.604,0.138,10.3,18.2,1.9,1.6,15.4,13.3,-0.3,2.5,1.4,2020,12345680,133826385,26.31372549,0.56,111159664
Patrick Patterson,PF,30,LAC,59,776,11.5,0.738,0.185,10.1,7.2,0.4,0.3,7.7,14.7,0.8,-0.5,0.5,2020,3068660,133826385,13.15254237,0.58,111159664
Paul George,SF,29,LAC,48,1419,21.1,0.487,0.277,10,21.1,2.3,1.2,12.5,29.6,3.8,1.1,2.5,2020,33005556,133826385,29.5625,0.589,111159664
Rodney McGruder,SG,28,LAC,56,871,6.7,0.492,0.188,9,5.3,1.4,0.8,10.9,10.6,-3.7,0.8,-0.2,2020,4807693,133826385,15.55357143,0.477,111159664
Alex Caruso,PG,25,LAL,64,1175,10.8,0.412,0.323,5.7,13.6,2.8,1.4,13.8,13.8,-2.6,2.4,0.5,2020,2750000,126079848,18.359375,0.525,111159664
Anthony Davis,PF,26,LAL,62,2131,27.4,0.199,0.479,14.8,15.1,2,6,10.4,29.3,5.4,2.6,5.4,2020,27093019,126079848,34.37096774,0.61,111159664
Avery Bradley,SG,29,LAL,49,1186,8.9,0.452,0.063,5.3,7.2,1.7,0.4,10.7,15.7,-3,0.5,-0.2,2020,6767000,126079848,24.20408163,0.537,111159664
Danny Green,SG,32,LAL,68,1687,10.8,0.69,0.101,7.3,7.1,2.4,1.7,11.3,13.9,-1.1,1.5,1.1,2020,14634147,126079848,24.80882353,0.552,111159664
Dwight Howard,C,34,LAL,69,1306,18.7,0.018,0.773,21.2,4.8,1.1,5.4,18.5,14.7,-1,1.2,0.7,2020,5603850,126079848,18.92753623,0.696,111159664
JaVale McGee,C,32,LAL,68,1130,19.4,0.02,0.268,18.9,4.6,1.5,7.5,13.9,14.8,-0.6,2.1,1,2020,4000000,126079848,16.61764706,0.652,111159664
Kentavious Caldwell-Pope,SG,26,LAL,69,1762,11,0.471,0.201,4.4,8.5,1.5,0.7,10.1,14.7,-1.2,0.4,0.5,2020,8139282,126079848,25.53623188,0.584,111159664
Kyle Kuzma,PF,24,LAL,61,1526,12.2,0.407,0.232,9.8,7.6,0.9,1.5,11,22.9,-1.6,-1,-0.2,2020,1974600,126079848,25.01639344,0.531,111159664
LeBron James,PG,35,LAL,67,2316,25.5,0.326,0.292,12.4,49.1,1.6,1.4,15.1,31.5,6.6,1.8,6.1,2020,37436858,126079848,34.56716418,0.577,111159664
Rajon Rondo,PG,33,LAL,48,984,12.4,0.381,0.125,7.9,32.9,1.9,0.2,20.8,18.7,-1.2,-0.1,0.2,2020,2564753,126079848,20.5,0.494,111159664
Brandon Clarke,PF,23,MEM,58,1300,20.9,0.134,0.234,14,9.5,1.1,3.2,9.4,18.7,2.4,0.7,1.7,2020,2478840,130668359,22.4137931,0.663,111159664
De'Anthony Melton,PG,21,MEM,60,1167,13.5,0.349,0.302,9.9,20.1,3.1,1.5,15.6,19.2,-2.2,2,0.5,2020,1416852,130668359,19.45,0.501,111159664
Dillon Brooks,SG,24,MEM,73,2112,11.3,0.385,0.19,6.1,10.5,1.4,1.1,9.7,25.2,-2.6,-1.4,-1.1,2020,1618520,130668359,28.93150685,0.51,111159664
Ja Morant,PG,20,MEM,67,2074,17.4,0.191,0.329,6.6,35.2,1.3,0.8,17,25.9,1.5,-1.2,1.2,2020,8730240,130668359,30.95522388,0.556,111159664
Jae Crowder,SF,29,MEM,45,1322,11,0.667,0.238,11,12.2,1.7,0.9,10.9,15.6,-1.4,0.2,0.3,2020,7815533,130668359,29.37777778,0.507,111159664
Jonas Valanciunas,C,27,MEM,70,1845,22.2,0.123,0.271,22.5,10.9,0.8,3.6,13.3,21.5,2.1,0.2,2,2020,16000000,130668359,26.35714286,0.631,111159664
Kyle Anderson,PF,26,MEM,67,1330,12.5,0.257,0.236,11.3,15.9,1.9,2.4,15.3,13.5,-1.5,2,0.9,2020,9073050,130668359,19.85074627,0.534,111159664
Solomon Hill,SF,28,MEM,48,901,10.2,0.631,0.163,8.4,13.4,1.6,0.7,13.8,13.4,-1.7,0.2,0.1,2020,13290395,130668359,18.77083333,0.549,111159664
Tyus Jones,PG,23,MEM,65,1232,15.7,0.289,0.135,4.4,32,2.2,0.4,10.8,17.2,0.4,0.2,0.8,2020,10116000,130668359,18.95384615,0.532,111159664
Bam Adebayo,PF,22,MIA,72,2417,20.3,0.018,0.484,17,24.2,1.7,3.8,17.6,21.2,1.4,2,3.3,2020,3454080,135262022,33.56944444,0.598,111159664
Duncan Robinson,SG,25,MIA,73,2166,13.1,0.882,0.105,6,7.1,0.8,0.9,8.9,16,1.5,-1,1.3,2020,1416852,135262022,29.67123288,0.684,111159664
Goran Dragic,PG,33,MIA,59,1663,16.3,0.467,0.34,6.3,29.2,1.2,0.6,14.8,25.9,1.4,-1.6,0.8,2020,19217900,135262022,28.18644068,0.573,111159664
Jimmy Butler,SF,30,MIA,58,1959,23.6,0.157,0.693,11,28.1,2.6,1.6,11.4,25.1,4,1.5,3.7,2020,32742000,135262022,33.77586207,0.585,111159664
Kelly Olynyk,C,28,MIA,67,1300,14.6,0.588,0.251,13.1,13.3,1.7,1.8,13.8,17.4,0,1,1,2020,12667885,135262022,19.40298507,0.621,111159664
Kendrick Nunn,SG,24,MIA,67,1962,12.9,0.428,0.109,5.1,18.5,1.4,0.8,10.6,24.1,-1,-1.3,-0.1,2020,1416852,135262022,29.28358209,0.534,111159664
Meyers Leonard,C,27,MIA,51,1034,10.6,0.547,0.12,14.1,7.6,0.7,1.4,13.7,12.2,-1.3,0.4,0.3,2020,11286515,135262022,20.2745098,0.627,111159664
Tyler Herro,SG,20,MIA,55,1508,12.5,0.472,0.158,8.3,12.7,1.1,0.6,11.4,22.3,-0.4,-1.2,0.1,2020,3640200,135262022,27.41818182,0.55,111159664
Brook Lopez,C,31,MIL,68,1817,15,0.484,0.227,8.5,7.4,1.2,7.9,8.7,18.3,-0.4,2.5,1.9,2020,12093024,131332989,26.72058824,0.551,111159664
Donte DiVincenzo,SG,23,MIL,66,1520,14.1,0.484,0.169,10.3,13.6,2.6,1.2,14.1,17.3,-1.1,2.4,1.3,2020,2905800,131332989,23.03030303,0.557,111159664
Eric Bledsoe,PG,30,MIL,61,1646,17.6,0.306,0.304,8.5,28.7,1.6,1.4,15.7,23.7,0.8,1.1,1.6,2020,15625000,131332989,26.98360656,0.571,111159664
Ersan Ilyasova,PF,32,MIL,63,986,14.9,0.438,0.278,15.1,6.6,1.1,1.5,8.8,16.1,-0.3,0.8,0.6,2020,7000000,131332989,15.65079365,0.589,111159664
George Hill,PG,33,MIL,59,1271,16.9,0.468,0.269,6.9,19,1.7,0.3,11.9,15.5,1.6,1.3,1.6,2020,10133907,131332989,21.54237288,0.659,111159664
Giannis Antetokounmpo,PF,25,MIL,63,1917,31.9,0.237,0.508,22.1,34.2,1.5,3,13.2,37.5,7.4,4.1,6.6,2020,25842697,131332989,30.42857143,0.613,111159664
Khris Middleton,SF,28,MIL,62,1853,21.1,0.374,0.24,10.2,22.2,1.3,0.3,11.6,26.4,3.4,0.7,2.9,2020,30603448,131332989,29.88709677,0.619,111159664
Kyle Korver,SF,38,MIL,58,960,11.3,0.809,0.14,6.3,9.2,1.2,1.1,13.4,15.4,-0.6,0.7,0.5,2020,6004753,131332989,16.55172414,0.62,111159664
Pat Connaughton,SG,27,MIL,67,1243,11.5,0.551,0.133,11.3,10.9,0.9,2.2,14,12.3,-0.9,1.5,0.8,2020,1723050,131332989,18.55223881,0.565,111159664
Robin Lopez,C,31,MIL,66,958,10.2,0.351,0.177,8.3,6.3,0.5,4.1,16.4,16.6,-3,0.4,-0.2,2020,4767000,131332989,14.51515152,0.554,111159664
Sterling Brown,SF,24,MIL,52,767,9.5,0.531,0.156,11.8,8.6,1.7,0.8,13.3,17,-3,1,0,2020,1618520,131332989,14.75,0.486,111159664
Wesley Matthews,SG,33,MIL,67,1635,8.1,0.704,0.161,5,7.1,1.1,0.5,8.7,12.5,-2.6,0.7,0.1,2020,2564753,131332989,24.40298507,0.547,111159664
Andrew Wiggins,SF,24,MIN,42,1455,16.1,0.348,0.262,7.9,18.1,0.9,2.1,10.8,28,1.1,-1.5,0.6,2020,27504630,132706778,34.64285714,0.535,111159664
Gorgui Dieng,C,30,MIN,46,778,17.8,0.433,0.213,17.4,11.1,2.2,4.5,12.7,18.4,0.3,1.5,0.7,2020,16229213,132706778,16.91304348,0.563,111159664
